id,batch_id,from_tank_id,to_tank_id,volume_bbl,shrinkage_bbl,transfer_type,notes,transferred_at,export_detail,to_batch_id,created_by,variation_id,quantity
ecf5d219-de37-49aa-8ee5-e5383f722202,eaeead51-d04b-4bf5-96af-8816388275d1,fa3e8982-663f-416b-8de2-bab0bc8b477e,8e0868bc-625b-45a7-860e-01fb8cfe0c45,60,0,transfer,,2026-06-17 00:00:00+00,,,,,
e3ec26d7-b746-4621-bab1-e7db6b6b1319,eb5b0b93-96cb-43de-abb0-ce0daf89675b,fa3e8982-663f-416b-8de2-bab0bc8b477e,c5996a20-3677-45e0-af8f-2c618c96b4ac,40,0,transfer,,2026-05-21 00:00:00+00,,,,,
7a0e0fc2-6a4a-4805-bc0b-1153a46dac37,eb5b0b93-96cb-43de-abb0-ce0daf89675b,d1008695-23cc-4887-bd14-fac1ed60e2ea,fa3e8982-663f-416b-8de2-bab0bc8b477e,40,0,transfer,,2026-05-21 00:00:00+00,,,,,
fc26ea4a-8183-47cc-87da-2f202eb61028,eb5b0b93-96cb-43de-abb0-ce0daf89675b,c5996a20-3677-45e0-af8f-2c618c96b4ac,c5996a20-3677-45e0-af8f-2c618c96b4ac,40,0,transfer,,2026-06-22 00:25:57.724876+00,,,8ecfbb8d-2231-4a20-ae76-2788817515e2,,
26b2e7d3-1ec0-48ea-98b8-862d9694be61,f89a6805-4c96-4d90-8068-2d729b5cb1f5,a59956d9-e33f-42ec-8a74-3e97e782ca88,931d2282-29bb-4840-8a2b-7e2565b56ab5,30,0,transfer,,2026-06-08 00:00:00+00,,,,,
27b7bffd-4bd9-44ad-955c-d3c7d296bd2a,f89a6805-4c96-4d90-8068-2d729b5cb1f5,931d2282-29bb-4840-8a2b-7e2565b56ab5,0adaf265-bfb7-45da-88bd-d3da10cfb8ea,2.7,0,transfer,,2026-06-10 00:00:00+00,,,,,
ea901a56-1a31-4ec9-922e-49a131751a5b,f89a6805-4c96-4d90-8068-2d729b5cb1f5,931d2282-29bb-4840-8a2b-7e2565b56ab5,87da1155-d1a8-41ff-a1a4-dd94715f6027,21,0,transfer,,2026-06-11 00:00:00+00,,,,,
c3134b01-1255-4727-95e2-16313269f58c,f89a6805-4c96-4d90-8068-2d729b5cb1f5,931d2282-29bb-4840-8a2b-7e2565b56ab5,87da1155-d1a8-41ff-a1a4-dd94715f6027,6.3,0,transfer,,2026-06-18 00:00:00+00,,,,,
e215d9cd-516b-45da-89d4-4f2deb4c4a69,f89a6805-4c96-4d90-8068-2d729b5cb1f5,931d2282-29bb-4840-8a2b-7e2565b56ab5,87da1155-d1a8-41ff-a1a4-dd94715f6027,18,0,kegging,,2026-06-27 01:50:12.193958+00,,,8ecfbb8d-2231-4a20-ae76-2788817515e2,ac4f3b17-d827-4e45-a823-ae80eb4dbbbc,36
b2fc7aba-51de-4943-b0e7-2cee42825962,f89a6805-4c96-4d90-8068-2d729b5cb1f5,87da1155-d1a8-41ff-a1a4-dd94715f6027,c9daf1a4-f70f-4484-9a11-efcca2d85012,18,0,kegging,,2026-06-27 01:50:28.173071+00,,,8ecfbb8d-2231-4a20-ae76-2788817515e2,ac4f3b17-d827-4e45-a823-ae80eb4dbbbc,36
eb81753a-3bd1-4916-99b0-788a6ca18214,fb50685f-b10a-4096-b791-944843201265,fa3e8982-663f-416b-8de2-bab0bc8b477e,df70232f-e4ab-4ec4-8f70-7b34f31fe905,40,0,transfer,,2026-05-07 00:00:00+00,,,,,
f65c61f6-ec62-4770-a2df-a1cc7e6ed248,fb50685f-b10a-4096-b791-944843201265,d1008695-23cc-4887-bd14-fac1ed60e2ea,fa3e8982-663f-416b-8de2-bab0bc8b477e,40,0,transfer,,2026-05-07 00:00:00+00,,,,,
